;Solution;Time;;Temperature;Delta
GRID;155,486612;7,740901;SIMANNEALING;1000000;0,00005
GRID;174,978985;0,003948;SIMANNEALING;1000000;0,1
GRID;158,451081;8,364854;SIMANNEALING;1000000;0,00005
GRID;175,063127;0,005165;SIMANNEALING;1000000;0,1
GRID;60,170087;8,314189;SIMANNEALING;1000000;0,00005
GRID;60,170087;0,003679;SIMANNEALING;1000000;0,1
RANDN;1045,19712;9,417807;SIMANNEALING;1000000;0,00005
RANDN;1091,109145;0,00422;SIMANNEALING;1000000;0,1
RANDN;1014,063264;8,29953;SIMANNEALING;1000000;0,00005
RANDN;1133,574494;0,003957;SIMANNEALING;1000000;0,1
RANDN;368,615592;9,003815;SIMANNEALING;1000000;0,00005
RANDN;368,107152;0,005772;SIMANNEALING;1000000;0,1
