GRID;Solution;61.785844;Problem size; 50;Time; 0.759443;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000; MaxIter;100000; MAXListLenght; 1000; nIterChangeTabuLenght; 50;
GRID;Solution;62.678767;Problem size; 50;Time; 0.487020;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000; MaxIter;100000; MAXListLenght; 1000; nIterChangeTabuLenght; 200;
GRID;Solution;61.785844;Problem size; 50;Time; 0.491392;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 100000; MaxIter;100000; MAXListLenght; 100000; nIterChangeTabuLenght; 50;
GRID;Solution;62.678767;Problem size; 50;Time; 0.446828;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 100000; MaxIter;100000; MAXListLenght; 100000; nIterChangeTabuLenght; 200;
GRID;Solution;62.834472;Problem size; 50;Time; 5.451825;TSEARCH ; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; -1;
GRID;Solution;62.614272;Problem size; 50;Time; 4.528841;TSEARCH PRECOMPandOPT; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; -1;
GRID;Solution;51.414214;Problem size; 50;Time; 4.959089;TSEARCH DynamicTL; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; 10;
GRID;Solution;52.064495;Problem size; 50;Time; 5.168934;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; 10;
GRID;Solution;52.828427;Problem size; 50;Time; 5.028813;TSEARCH DynamicTL; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; 10;
GRID;Solution;52.064495;Problem size; 50;Time; 5.051625;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; 10;
GRID;Solution;60.426831;Problem size; 50;Time; 4.288263;TSEARCH ; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; -1;
GRID;Solution;61.378204;Problem size; 50;Time; 5.309422;TSEARCH PRECOMPandOPT; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; -1;
GRID;Solution;60.678767;Problem size; 50;Time; 4.503350;TSEARCH DynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
GRID;Solution;62.614272;Problem size; 50;Time; 4.519950;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
GRID;Solution;60.908262;Problem size; 50;Time; 4.462705;TSEARCH DynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
GRID;Solution;62.614272;Problem size; 50;Time; 4.484508;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
GRID;Solution;51.656854;Problem size; 50;Time; 4.262500;TSEARCH ; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; -1;
GRID;Solution;53.721349;Problem size; 50;Time; 4.242102;TSEARCH PRECOMPandOPT; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; -1;
GRID;Solution;59.021912;Problem size; 50;Time; 4.815166;TSEARCH DynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
GRID;Solution;62.092980;Problem size; 50;Time; 4.405020;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
