;Solution;Problem size;Time;; ListLenght; MaxIter;Exact;
GRID;59,85034;50;0,478055;TSEARCHDynamicTL;50;100000;50;0,1970068
GRID;59,85034;50;0,479047;TSEARCHDynamicTL;50;100000;50;0,1970068
GRID;59,85034;50;0,469221;TSEARCHDynamicTL;50;100000;50;0,1970068
GRID;60,843767;50;0,595871;TSEARCHDynamicTL;50;100000;50;0,21687534
GRID;61,251408;50;0,562083;TSEARCHDynamicTL;50;100000;50;0,22502816
GRID;59,85034;50;0,456881;TSEARCHDynamicTL;50;100000;50;0,1970068
GRID;59,85034;50;0,468706;TSEARCHDynamicTL;50;100000;50;0,1970068
GRID;59,85034;50;0,453289;TSEARCHDynamicTL;50;100000;50;0,1970068
GRID;59,85034;50;0,450534;TSEARCHDynamicTL;50;100000;50;0,1970068
GRID;60,09298;50;0,714422;TSEARCH;50;100000;50;0,2018596
GRID;60,843767;50;0,534656;TSEARCHDynamicTL;100;100000;50;0,21687534
GRID;61,251408;50;0,543809;TSEARCHDynamicTL;100;100000;50;0,22502816
GRID;59,200058;50;0,417539;TSEARCHDynamicTL;100;100000;50;0,18400116
GRID;61,126268;50;0,416175;TSEARCHDynamicTL;100;100000;50;0,22252536
GRID;64,01534;50;0,435822;TSEARCHDynamicTL;100;100000;50;0,2803068
GRID;61,397968;50;0,419689;TSEARCHDynamicTL;100;100000;50;0,22795936
GRID;60,843767;50;0,550825;TSEARCHDynamicTL;100;100000;50;0,21687534
GRID;61,251408;50;0,522471;TSEARCHDynamicTL;100;100000;50;0,22502816
GRID;61,543204;50;0,410301;TSEARCHDynamicTL;200;100000;50;0,23086408
GRID;57,785844;50;0,45959;TSEARCHDynamicTL;200;100000;50;0,15571688
GRID;62,727922;50;0,423051;TSEARCHDynamicTL;200;100000;50;0,25455844
GRID;58,957417;50;0,410481;TSEARCHDynamicTL;200;100000;50;0,17914834
GRID;57,899495;50;0,436989;TSEARCHDynamicTL;200;100000;50;0,1579899
GRID;59,863485;50;0,437878;TSEARCHDynamicTL;200;100000;50;0,1972697
GRID;59,556349;50;0,498376;TSEARCHDynamicTL;200;100000;50;0,19112698
GRID;58,206631;50;0,427233;TSEARCHDynamicTL;200;100000;50;0,16413262
GRID;62,678767;50;0,681448;TSEARCHDynamicTL;200;100000;50;0,25357534
GRID;59,785844;50;0,471872;TSEARCHDynamicTL;200;100000;50;0,19571688
GRID;60,09298;50;0,731265;TSEARCH;50;125000;50;0,2018596
GRID;60,843767;50;0,613124;TSEARCHDynamicTL;50;125000;50;0,21687534
GRID;61,251408;50;0,542991;TSEARCHDynamicTL;50;125000;50;0,22502816
GRID;59,85034;50;0,468024;TSEARCHDynamicTL;50;125000;50;0,1970068
GRID;61,685339;50;0,456287;TSEARCHDynamicTL;500;125000;50;0,23370678
GRID;59,021912;50;0,453056;TSEARCHDynamicTL;500;125000;50;0,18043824
GRID;59,96399;50;0,680819;TSEARCHDynamicTL;500;125000;50;0,1992798
GRID;63,571689;50;0,466907;TSEARCHDynamicTL;500;125000;50;0,27143378
GRID;63,420258;50;0,473841;TSEARCHDynamicTL;2500;125000;50;0,26840516
GRID;64,01919;50;0,447934;TSEARCHDynamicTL;2500;125000;50;0,2803838
