RANDN;Solution;340.147361;Problem size; 50;Time; 0.825152;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000; MaxIter;100000; MAXListLenght; 1000; nIterChangeTabuLenght; 50;
RANDN;Solution;342.668748;Problem size; 50;Time; 0.493454;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000; MaxIter;100000; MAXListLenght; 1000; nIterChangeTabuLenght; 200;
RANDN;Solution;340.147361;Problem size; 50;Time; 0.477221;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 100000; MaxIter;100000; MAXListLenght; 100000; nIterChangeTabuLenght; 50;
RANDN;Solution;342.668748;Problem size; 50;Time; 0.564333;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 100000; MaxIter;100000; MAXListLenght; 100000; nIterChangeTabuLenght; 200;
RANDN;Solution;341.874986;Problem size; 50;Time; 4.366408;TSEARCH ; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; -1;
RANDN;Solution;322.816528;Problem size; 50;Time; 4.477872;TSEARCH PRECOMPandOPT; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; -1;
RANDN;Solution;311.942623;Problem size; 50;Time; 4.774381;TSEARCH DynamicTL; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; 10;
RANDN;Solution;291.470625;Problem size; 50;Time; 4.606217;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; 10;
RANDN;Solution;309.544773;Problem size; 50;Time; 4.328105;TSEARCH DynamicTL; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; 10;
RANDN;Solution;290.804308;Problem size; 50;Time; 4.617723;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 100; MaxIter;1000000; MAXListLenght; 100; nIterChangeTabuLenght; 10;
RANDN;Solution;339.020733;Problem size; 50;Time; 4.250633;TSEARCH ; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; -1;
RANDN;Solution;346.512342;Problem size; 50;Time; 4.315047;TSEARCH PRECOMPandOPT; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; -1;
RANDN;Solution;345.499441;Problem size; 50;Time; 4.414353;TSEARCH DynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
RANDN;Solution;328.681385;Problem size; 50;Time; 4.528606;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
RANDN;Solution;352.188799;Problem size; 50;Time; 4.386468;TSEARCH DynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
RANDN;Solution;325.903657;Problem size; 50;Time; 4.412804;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 10000; MaxIter;1000000; MAXListLenght; 10000; nIterChangeTabuLenght; 100;
RANDN;Solution;306.878471;Problem size; 50;Time; 4.227581;TSEARCH ; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; -1;
RANDN;Solution;293.053612;Problem size; 50;Time; 4.237867;TSEARCH PRECOMPandOPT; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; -1;
RANDN;Solution;338.659552;Problem size; 50;Time; 4.348846;TSEARCH DynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
RANDN;Solution;316.596386;Problem size; 50;Time; 4.870535;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
RANDN;Solution;357.497489;Problem size; 50;Time; 4.312589;TSEARCH DynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
RANDN;Solution;316.596386;Problem size; 50;Time; 4.275154;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000000; MaxIter;1000000; MAXListLenght; 1000000; nIterChangeTabuLenght; 1000;
RANDN;Solution;350.317359;Problem size; 50;Time; 0.845251;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000; MaxIter;100000; MAXListLenght; 1000; nIterChangeTabuLenght; 50;
RANDN;Solution;335.408888;Problem size; 50;Time; 0.453454;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 1000; MaxIter;100000; MAXListLenght; 1000; nIterChangeTabuLenght; 200;
RANDN;Solution;362.665079;Problem size; 50;Time; 0.866317;TSEARCH PRECOMPandOPTDynamicTL; ListLenght; 100000; MaxIter;100000; MAXListLenght; 100000; nIterChangeTabuLenght; 50;
