;Solution;Problem size;;Time;; ListLenght; MaxIter
RANDN;35,70445;10;Time;0,000182;TSEARCH;100;1000
RANDN;37,788727;10;Time;0,000182;TSEARCH;100;1000
RANDN;22,838897;10;Time;0,00018;TSEARCH;100;1000
RANDN;31,836023;10;Time;0,000302;TSEARCH;100;1000
RANDN;33,085086;10;Time;0,000264;TSEARCH;100;1000
RANDN;35,386535;10;Time;0,000231;TSEARCH;100;1000
RANDN;34,884232;10;Time;0,000334;TSEARCH;100;1000
RANDN;28,14579;10;Time;0,000181;TSEARCH;100;1000
RANDN;32,282821;10;Time;0,000249;TSEARCH;100;1000
RANDN;27,481108;10;Time;0,000293;TSEARCH;100;1000
RANDN;341,060713;50;Time;0,004107;TSEARCH;100;1000
RANDN;343,763719;50;Time;0,004141;TSEARCH;100;1000
RANDN;354,710896;50;Time;0,004395;TSEARCH;100;1000
RANDN;324,274783;50;Time;0,004153;TSEARCH;100;1000
RANDN;354,185766;50;Time;0,004188;TSEARCH;100;1000
RANDN;357,144059;50;Time;0,005758;TSEARCH;100;1000
RANDN;320,884063;50;Time;0,006748;TSEARCH;100;1000
RANDN;327,500615;50;Time;0,004102;TSEARCH;100;1000
RANDN;332,942621;50;Time;0,004826;TSEARCH;100;1000
RANDN;327,657343;50;Time;0,004938;TSEARCH;100;1000
RANDN;917,220166;100;Time;0,013405;TSEARCH;100;1000
RANDN;969,784075;100;Time;0,011186;TSEARCH;100;1000
RANDN;929,75998;100;Time;0,013232;TSEARCH;100;1000
RANDN;962,032761;100;Time;0,012694;TSEARCH;100;1000
RANDN;997,071179;100;Time;0,012174;TSEARCH;100;1000
RANDN;963,336244;100;Time;0,013458;TSEARCH;100;1000
RANDN;987,15989;100;Time;0,013441;TSEARCH;100;1000
RANDN;968,379376;100;Time;0,016014;TSEARCH;100;1000
RANDN;983,643053;100;Time;0,011628;TSEARCH;100;1000
RANDN;916,300713;100;Time;0,012189;TSEARCH;100;1000
RANDN;2475,43524;200;Time;0,022367;TSEARCH;100;1000
RANDN;2301,58018;200;Time;0,024527;TSEARCH;100;1000
RANDN;2258,748361;200;Time;0,019872;TSEARCH;100;1000
RANDN;2634,234765;200;Time;0,013561;TSEARCH;100;1000
RANDN;2432,267569;200;Time;0,023768;TSEARCH;100;1000
RANDN;2490,051087;200;Time;0,032839;TSEARCH;100;1000
RANDN;2428,543066;200;Time;0,031623;TSEARCH;100;1000
