Solution;24.973977901;Problem size; 10;Time; 0.266; Sample iter; 0; EXACT; dataset; SEMIGRID; seed; 111;
Solution;32.901704953;Problem size; 10;Time; 0.485; Sample iter; 1; EXACT; dataset; SEMIGRID; seed; 5;
Solution;31.364084636;Problem size; 10;Time; 0.782; Sample iter; 2; EXACT; dataset; SEMIGRID; seed; 2500;
Solution;33.279489252;Problem size; 10;Time; 0.953; Sample iter; 3; EXACT; dataset; SEMIGRID; seed; 184;
Solution;31.33219628;Problem size; 10;Time; 1.125; Sample iter; 4; EXACT; dataset; SEMIGRID; seed; 21;
Solution;38.955880242;Problem size; 10;Time; 1.297; Sample iter; 5; EXACT; dataset; SEMIGRID; seed; 47;
Solution;43.280937842;Problem size; 10;Time; 1.516; Sample iter; 6; EXACT; dataset; SEMIGRID; seed; 66;
Solution;32.984582729;Problem size; 10;Time; 1.782; Sample iter; 7; EXACT; dataset; SEMIGRID; seed; 71;
Solution;32.073338122;Problem size; 10;Time; 1.86; Sample iter; 8; EXACT; dataset; SEMIGRID; seed; 32;
Solution;37.789090815;Problem size; 10;Time; 2; Sample iter; 9; EXACT; dataset; SEMIGRID; seed; 84;
Solution;450.096547598;Problem size; 50;Time; 76.125; Sample iter; 0; EXACT; dataset; SEMIGRID; seed; 111;
Solution;452.609052127;Problem size; 50;Time; 92.875; Sample iter; 1; EXACT; dataset; SEMIGRID; seed; 5;
Solution;439.384022621;Problem size; 50;Time; 114.563; Sample iter; 2; EXACT; dataset; SEMIGRID; seed; 2500;
Solution;432.931924496;Problem size; 50;Time; 146.563; Sample iter; 3; EXACT; dataset; SEMIGRID; seed; 184;
Solution;444.754763489;Problem size; 50;Time; 372.844; Sample iter; 4; EXACT; dataset; SEMIGRID; seed; 21;
Solution;430.64854204;Problem size; 50;Time; 525.391; Sample iter; 5; EXACT; dataset; SEMIGRID; seed; 47;
Solution;485.807476035;Problem size; 50;Time; 583.813; Sample iter; 6; EXACT; dataset; SEMIGRID; seed; 66;
Solution;391.982374232;Problem size; 50;Time; 1180.172; Sample iter; 7; EXACT; dataset; SEMIGRID; seed; 71;
Solution;409.032659434;Problem size; 50;Time; 1264.297; Sample iter; 8; EXACT; dataset; SEMIGRID; seed; 32;
Solution;428.493897708;Problem size; 50;Time; 1314.688; Sample iter; 9; EXACT; dataset; SEMIGRID; seed; 84;
Solution;1356.448143395;Problem size; 100;Time; 30460.782; Sample iter; 0; EXACT; dataset; SEMIGRID; seed; 111;
